ticker,Coatue,Force,Highline,Hoplite,Pershing Square,Royal,Sheffield,Standard Pacific,Tiger Consumer,Valinor,Viking
AAPL ,1,,,,,,,,,,1
ABBV ,,,1,,,,,,,,
ABC ,,,1,,,,,,,,
ACT ,,,,,,,,,,,1
ADBE ,,,,,,,,,,,1
ADT ,1,,,,,,,,,1,
AEGR ,,,,,,,,,,,1
AET ,,,,,,,,,,,1
AGNC ,,,,,,,,,,,1
AGO ,,1,,,,,,,,,
AHT ,,1,,,,,,,,,
AIG ,1,,,,,1,,1,,1,
ALL ,,,,,,,,,,,1
ALXN ,,,,,,,,,,,1
AMT ,1,,,,,,,,,,
AMZN ,1,,,,,,,,,,
APD ,,,,,1,,,,,,
ARCO ,,,,,,,,,1,,
ARCP ,,,,,,,,,,1,
ARG ,,,,1,,,,,,,
ARO ,,,,,,,1,,1,,
ARRS ,,,,,,,,,,1,
ATHN ,,,,,,,,,,,1
ATML ,1,,,,,,,,,,
ATVI ,,,,,,1,,,,,
AWI ,,,,,,,,1,,,
AZO ,,,,1,,,,1,,,
BAC ,,1,,,,,,,,,
BBY ,1,,,,,,,,,,
BEE ,,1,,,,,,,,,
BIDU ,1,,,,,,,,,,
BIIB ,,,,1,,1,,,,,1
BKW ,,,,,1,,,,,,
BPOP ,,,,,,,,,,1,
BRCD ,,,,,,,1,,,,
BRCM ,1,,,,,,,,,,
BRK/A ,,,,1,,,,,,,
BSX ,,,,1,,1,,,,,1
C/WS/A ,,1,,,,,,,,,
CATM ,,,,,,,,,,1,
CBB ,,,,,,1,,,,,
CBS ,1,,,,,,,,,,
CCI ,1,,,,,,,,,,1
CDR ,,1,,,,,,,,,
CHKP ,,,,,,,,,,1,
CHMT ,,,,,,,,,,1,
CHS ,,,,,,,,,1,,
CHTR ,1,1,,1,,,1,,,,
CLNY ,,,1,,,,,,,,
CMCSA ,,,,,,,,,,,1
CME ,,,,,,,,1,,,
COF ,,,,,,,,,,,1
COT ,,,,,,,,,,1,
CP ,,,,,1,,,,,,
CPRT ,,1,,,,,,,,,
CRI ,,,,1,,,,,,,1
CRUS ,1,,,,,,,,,,
CSCO ,,,,,,,,,,,1
CSTR ,,,,,,1,,,,,
CSX ,,1,,,,,,,,,
CTRX ,,,,,,,,,1,,
CX ,,,,1,,,,,,1,1
CYH ,,,,,,,,,,,1
DAL ,,,1,,,,,,,,
DAN ,,,,,,,,1,,,
DECK ,,,,,,,,,1,,
DFS ,1,,,,,,,1,,,
DG ,,,,1,,,1,,1,,1
DGI ,,,,,,,,,,1,
DHI ,,,,,,,,,,,1
DHR ,,,,1,,,,,,,1
DISH ,,,,,,,,,,,1
DLLR ,,,,,,1,,,,,
DLPH ,,,,,,,,,,1,
DLTR ,,,,1,,,,,,,
DOX ,,,,,,1,,,,,
DTV ,,,,,,,,,1,,
DVN ,,,,,,,1,,,,
EBAY ,,,,,,,,,1,,
ECL ,,,,,,,,,,1,
EL ,,,,1,,,,,,,1
ELN ,,,,,,,,,,,1
EMC ,,,1,,,,,,,,
EMMS ,,1,,,,,,,,,
EMN ,,,,,,,,,,,1
EPR ,,1,,,,,,,,,
EQIX ,1,,,1,,,,,,,1
ERIC ,,,,,,,,,,1,
ESRX ,,,,,,,,,1,,
ETN ,,,,,,,,1,,,
EXP ,,,,1,,,,,,,
EXPE ,,,1,,,,,,1,,
EXXI ,,,,,,1,,,,,
FB ,,,,,,,,,1,,
FBHS ,,,,,,,,,1,,
FCH ,,1,,,,,,,,,
FDO ,,,,,,,1,,,,
FIO ,1,,,,,,,,,,
FL ,,,,,,,,,1,,
FLO ,,,,1,,,,,,,
FLT ,,,,,,,,,,1,
FNF ,,,,,,1,,,,,
FOBR NA,,,,,1,,,,,,
FOSL ,,,,,,,,,1,,
FR ,,1,,,,,,,,,
FRAN ,,,,,,,,,,1,
FSL ,,,,,,,,1,,,
FTNT ,,,,1,,,,,,,
FUN ,,,,,,1,,,,,
GCVRZ ,,,,,,,,,,,
GDOT ,,,,,,,,,,1,
GDP ,,,,,,,,,,1,
GGP ,,,,,1,,,,,,
GILD ,,,,,,,,,,,1
GLNG ,,,,,,,1,,,,
GLRE ,,,,,,,,,,,
GM ,,1,,,,,,1,,,
GMCR ,1,,,1,,,,,,,
GME ,,,,,,1,,,,,
GOOG ,1,,,,,,,,1,1,
GPI ,,,,,,,,,1,,
GPS ,1,,,,,,,,,,
GRPN ,1,,,1,,,,,,,
GY ,,,,,,1,,,,,
HAIN ,1,,,,,,,,,,
HAL ,,,1,,,,,,,,
HHC ,,,,,1,,,,,,
HLF ,,,,,,,,,1,,
HNT ,,,,,,,1,,,,
HOLX ,,,1,,,,,,,,
HOT ,,,,,,,,,1,,
HSH ,,,,,,,,,,1,
HTZ ,,,,,,,,,,1,
HUM ,,,,,,,,,,,1
ICE ,,,,,,,,,,,1
INFA ,,,,1,,,,,,,
INXN ,,,,1,,,,,,,
IPGP ,,,,,,,,,,1,
IR ,,,1,,,,,,,,
ISRG ,1,,,1,,,,,,,1
ITMN ,,,1,,,,,,,,
IYR ,,1,,,,,,,,,
JCP ,,1,,,1,,,,1,,
JOSB ,,,,,,,,,,1,
JOY ,1,,,,,,,,,,
KMI/WS ,,1,,,,,,,,,
KOG ,,,1,,,,,,,,
KORS ,1,,,1,,,,,1,,1
KSS ,,,,,,,,,,,
LAMR ,,,,,,,,,1,,
LBTYK ,1,,,,,,,,1,1,
LCC ,,,,,,,,1,,,
LEA ,,,,,,,,,,1,
LEN ,,,,,,,,1,,,
LITB ,,,,,,,,1,,,
LNKD ,1,,,,,,,,,,
LOGI ,1,,,,,,,,,1,
LPX ,,,,1,,,,,,,
LTD ,1,,,,,,,,,,
LULU ,,,,,,,,,1,,
LVLT ,1,,,,,,,,,,
LVNTA ,,,1,,,,,,,,
LVS ,1,,1,,,,,,,,
LYB ,,,,,,,,,,,1
MA ,,,,,,,,,,,1
MATX ,,,,,1,,,,,,
MCO ,,,,,,,1,,,,1
MCP ,1,,,,,,,,,,
MDLZ ,,,,,,,,,,1,
MDVN ,,,,,,,,,,,1
MET ,,,,,,,,,,,1
MHFI ,,,,,,,,,,,1
MHK ,,,,1,,,,,,,
MLM ,,,1,,,,,,,,
MLNX ,1,,,,,,,,,,
MNST ,,,,1,,,,,,,
MON ,,,,,,,,,,,1
MPC ,,,,,,,,,,,1
MS ,,,1,,,,,,,1,
MSG ,,,,,,,,,,1,
MTH ,,,,,,,,1,,,
MW ,,,,,,,,,,1,
NAV ,,,1,,,,,,,,
NE ,,,,,,,,,,1,
NFG ,,,,,,,,,,1,
NFLX ,1,,,1,,,,,,,
NG ,,,,,,,,,,,
NIHD ,1,,,,,,,,,,
NRG ,,,,,,,1,,,,
NSH ,,1,,,,,,,,,
NTRI ,1,,,,,,,,,,
NUAN ,1,,,,,,,,,,
NWS ,1,,1,,,,,,,,1
OC ,,,,,,,,,,1,
OIS ,,,1,,,,,,,,
OLED ,,,,,,,,1,,,
P ,,,,,,,,1,,,
PAY ,,,,,,,,,1,,
PBI ,1,,,,,,,,,,
PCLN ,1,,,,,,,,1,,1
PCP ,,,,,,,,1,,,
PG ,,,,,1,,,,,,
PIR ,,,,,,,,,1,,
PLCM ,1,,,,,,,,,,
PNR ,,,,,,,,,,1,
PNRA ,,,,,,,,,1,,
PRI ,,1,,,,,,,,,
PVH ,,,,,,,1,,,,
PWRD ,,,,,,,,1,,,
QCOM ,,,,,,,,,,1,1
QIHU ,,,,,,,,1,,,
RAX ,1,,,,,,,,,,
RBA ,,1,,,,,,,,,
REIS ,,1,,,,,,,,,
RF ,,,,,,,,,,,1
RGS ,,,,,,,,,,,
RH ,,,,,,,,,1,,
RHP ,,,,,,,,,1,,
RHT ,1,,,,,,,,,,
RIIG IX,1,,,1,,,,,,,1
RKT ,,,,,,,1,,,,
RLGY ,1,,,1,,,,,,,
ROST ,,,,,,,,,1,,
RRD ,1,,,,,,,,,1,
RVBD ,,,,,,,,,,1,
SATS ,,1,,,,,,,,,
SBUX ,,,1,1,,,,,,,
SCSS ,,,,,,,1,,,,
SFI ,,1,,,,,,,,1,
SHLD ,,1,,,,,,,,,
SHPG ,,,1,,,,,,,,1
SIG ,,,,,,,,,,1,
SIR ,,,,,,,,,,,
SIRI ,1,,,,,,,,,,
SNDK ,,,,,,,,,,,1
SPF ,,,,,,,,1,,,
SPLS ,,,,,,,1,,,,
SPY ,,1,1,,,,,,,,
SRPT ,,,,,,,,,,,1
STEC ,1,,,,,,,,,,
STFC ,,1,,,,,,,,,
STRZA ,,,,,,,,,1,,
SVU ,1,,,,,,,,,,
SWFT ,,,,,,,,,,1,
TDG ,,,,1,,,,,,,
TER ,,,,,,,,1,,,
TFSL ,,,,,,,,,,,
TGI ,,,,,,,,,,,1
TGT ,,,,1,,,,,,,
THI ,,,,,,,,,1,,
TK ,,,1,,,,,,,,
TMH ,,,,,,,,,,1,
TMO ,,,,1,,,,,,,1
TRIP ,1,,,,,,,,,,
TROX ,,,,,,,1,,,,
TSLA ,1,,,,,,,,,,
TSN ,,,1,,,,,,,,
TWC ,1,,1,,,,1,,,,1
TWX ,1,,,1,,,,,,,1
UFS ,1,,,,,,1,,,,
UHS ,,,1,1,,,,,,,1
ULTA ,,,,1,,,,,1,,
URBN ,,,,,,,,,1,,
USG ,,,,1,,,,1,,,
V ,,,,1,,,,,,,1
VAR ,,,,,,,,,,,1
VLO ,,,,,,,,,,,1
VMC ,,,,,,,,1,,,
VPRT ,,,,,,,,,,1,
VRSK ,1,,,1,,,,,,,1
VRX ,,,,1,,,,,,,1
WBC ,,,1,,,,,,,,
WFM ,1,,,,,,,,,,
WHR ,,,,,,,,1,,,
WLP ,,,,,,,,,,,
WU ,,1,,,,,,,,,
WWAV/B ,,,,,,,1,,,,
WWWW ,,,,,,,1,,,,
WYN ,,,,,,,,,,1,
XLY ,,,1,,,,,,,,
XME ,,,1,,,,,,,,
YHOO ,,,,,,,,,1,,
YNDX ,1,,,,,,,1,,,
Z ,,,,,,,,,,1,
ZNGA ,,,,,,,,,1,,
ZUMZ ,,,,,,,,,1,,
