Ticker,White.Elm.Capital,Viking.Global,Greenlight.Capital,Thirdpoint,Highline.Capital,Hoplite.Capital,Tiger.Consumer,Tiger.Global
TWX ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 
FOXA,0 ,1 ,0 ,1 ,1 ,0 ,0 ,1 
CMCSA,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 
HRB,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 
PCLN,1 ,1 ,0 ,0 ,0 ,0 ,1 ,1 
LBTYK,1 ,0 ,1 ,1 ,0 ,0 ,1 ,1 
LMCA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
LBTYA,1 ,0 ,1 ,1 ,0 ,0 ,1 ,0 
CHTR,1 ,0 ,0 ,0 ,0 ,1 ,0 ,1 
BAGL,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
BKW,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
EXPE,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 
SBUX,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 
DIS,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
MMYT,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
B7S9G9,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
NFLX,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 
DTV,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
SBGI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
BID,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
TWC,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 
XRS,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
HOT,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
EBAY,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
THI,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
PNRA,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
LVS,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
STRZA,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
SIRI,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
DISH,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
ARCO,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
B1S49Q,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
CMCSK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
DPZ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
RCL,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
AAPL,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
BA,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 
401225,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
MRVL,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
NCR,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
TDG,1 ,0 ,0 ,0 ,0 ,1 ,0 ,1 
QCOM,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 
MSI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
TGI,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
BBRY,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 
BEAV,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
SSYS,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
MU,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
CSCO,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
SNDK,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
ENPH,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
FTNT,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
DDD,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
EMC,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
SPR,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
ASML,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
COF,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
MA,1 ,1 ,0 ,0 ,0 ,0 ,0 ,1 
V,1 ,1 ,0 ,0 ,0 ,1 ,0 ,1 
AIG,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
ALL,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
B574ZG,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
MET,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
ICE,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
VRSK,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
AHL,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
VOYA,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
RHP,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
OAK.U,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
B06GJ3,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
LM,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
ASPS,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
OCN,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
CAR,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
B02J63,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
STBZ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
CLNY,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
AGNC,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
RF,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
MS,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
CBF,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
FCFS,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
B83VD9,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
TMO,0 ,1 ,0 ,1 ,0 ,1 ,0 ,0 
ISRG,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 
VRX,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 
ALXN,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
BIIB,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
ELN,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 
ACT,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
430550,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
MDVN,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
SHPG,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 
GILD,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
ABBV,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
HOLX,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
SRPT,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
VAR,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
ITMN,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
AEGR,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
YHOO,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 
EQIX,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 
ADBE,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
FIS,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
CSC,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
FB,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
DST,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
TIBX,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
IACI,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
VRSN,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
ZNGA,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
INFA,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
GOOG,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
DOX,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
INXN,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
PAY,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
SAP,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
GWRE,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
B282YM,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
DG,0 ,1 ,0 ,1 ,0 ,1 ,1 ,1 
CRI,1 ,1 ,0 ,0 ,0 ,1 ,0 ,1 
AMZN,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
ULTA,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 
DLTR,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
AZO,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
TIF,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
FL,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
URBN,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
JCP,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
LULU,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
CHS,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
ROST,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
LVNTA,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
RAD,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
PIR,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
ARO,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
RH,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
VSI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
GPI,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
ZUMZ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
SBH,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
309272,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
LITB,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
LYB,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
MON,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
EMN,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
B0Z5YZ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
IP,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
GRA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
CF,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
ARG,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
BIOF,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 
FDS24DBE8,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
KORS,0 ,1 ,0 ,0 ,0 ,1 ,1 ,0 
EL,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 
CCE,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 
B03944,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
MNST,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
FLO,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
DECK,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
STZ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
612477,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
TSN,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
VRA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
COTY,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
317430,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
AET,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
UHS,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 
CI,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
CTRX,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
HUM,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
ESRX,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
CYH,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
ATHN,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
DVA,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
BRLI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
DHR,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 
CFX,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
DLPH,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
BWC,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
IR,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
WBC,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
PBI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
NAV,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
615272,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
BRK.A,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
VLO,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
MPC,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 
COG,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
APC,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
B74CDH,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
WPX,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
KOG,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
CX,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 
MLM,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
EXP,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
USG,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
TRER,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
GM,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
MHK,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
FBHS,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
FOSL,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
DHI,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
GRPN,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 
FLT,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
MHFI,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
LAMR,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
RLGY,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
MCO,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
RRD,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
B2987V,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
B01FLG,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
CCI,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
B16GWD,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
SBAC,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
VOD,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
OIS,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 
HAL,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
WMB,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
URS,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
GMLP,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
GDX,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
FSC,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
XME,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
XLY,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
HLF,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
WCC,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
ABC,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
TK,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
GLNG,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
DAL,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
UTIW,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
FDS880050,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
FDS2378D8,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
